artists,titles
taylor swift,all too well (taylor's version)
adele,easy on me
the kid laroi & justin bieber,stay
lil nas x & jack harlow,industry baby
silk sonic (bruno mars & anderson .paak),smokin out the window
ed sheeran,bad habits
ed sheeran,shivers
glass animals,heat waves
doja cat,need to know
walker hayes,fancy like
elton john & dua lipa,cold heart (pnau remix)
drake featuring future & young thug,way 2 sexy
olivia rodrigo,good 4 u
doja cat & the weeknd,you right
wizkid featuring justin bieber & tems,essence
maneskin,beggin'
dua lipa,levitating
taylor swift,state of grace (taylor's version)
post malone & the weeknd,one right now
juice wrld,already dead
doja cat featuring sza,kiss me more
taylor swift featuring chris stapleton,i bet you think about me (taylor's version) (from the vault)
silk sonic (bruno mars & anderson .paak),leave the door open
jason aldean & carrie underwood,if i didn't love you
taylor swift,red (taylor's version)
the weeknd & ariana grande,save your tears
drake featuring 21 savage & project pat,knife talk
the anxiety: willow & tyler cole,meet me at our spot
neiked x mae muller x polo g,better days
dustin lynch featuring lauren alaina or mackenzie porter,thinking 'bout you
drake featuring lil baby,girls want girls
luke combs,cold as you
justin bieber,ghost
ckay,love nwantiti (ah ah ah)
ryan hurd with maren morris,chasing after you
mariah carey,all i want for christmas is you
coldplay x bts,my universe
jordan davis featuring luke bryan,buy dirt
lil nas x,thats what i want
billie eilish,happier than ever
farruko,pepas
chris stapleton,you should probably leave
taylor swift featuring phoebe bridgers,nothing new (taylor's version) (from the vault)
"nardo wick featuring g herbo, lil durk & 21 savage",who want smoke??
taylor swift,message in a bottle (taylor's version) (from the vault)
taylor swift,i knew you were trouble (taylor's version)
taylor swift featuring ed sheeran,run (taylor's version) (from the vault)
lil nas x,montero (call me by your name)
polo g,bad man (smooth criminal)
zac brown band,same boat
taylor swift,better man (taylor's version) (from the vault)
taylor swift,22 (taylor's version)
luke combs,doin' this
taylor swift,treacherous (taylor's version)
taylor swift,we are never ever getting back together (taylor's version)
summer walker & sza,no love
normani featuring cardi b,wild side
chloe,have mercy
taylor swift,i almost do (taylor's version)
blxst & tyga featuring ty dolla $ign,chosen
taylor swift,the very first night (taylor's version) (from the vault)
baby keem & kendrick lamar,family ties
taylor swift featuring ed sheeran,everything has changed (taylor's version)
morgan wallen,sand in my boots
capella grey,gyalis
taylor swift featuring gary lightbody of snow patrol,the last time (taylor's version)
taylor swift,stay stay stay (taylor's version)
silk sonic (bruno mars & anderson .paak) with thundercat & bootsy collins,after last night
taylor swift,babe (taylor's version) (from the vault)
meek mill featuring lil baby & lil durk,sharing locations
travis scott,escape plan
kane brown,one mississippi
silk sonic (bruno mars & anderson .paak),blast off
kenny chesney,knowing you
silk sonic (bruno mars & anderson .paak),skate
taylor swift,holy ground (taylor's version)
taylor swift,begin again (taylor's version)
silk sonic (bruno mars & anderson .paak),put on a smile
taylor swift,forever winter (taylor's version) (from the vault)
michael ray,whiskey and rain
silk sonic (bruno mars & anderson .paak),fly as me
kodak black,super gremlin
taylor swift,the moment i knew (taylor's version)
taylor swift,the lucky one (taylor's version)
taylor swift,sad beautiful tragic (taylor's version)
drake featuring travis scott,fair trade
taylor swift,come back...be here (taylor's version)
amaarae & moliy featuring kali uchis,sad girlz luv money
jon pardi,tequila little time
taylor swift,starlight (taylor's version)
young thug with drake & travis scott,bubbly
summer walker & jt,ex for a reason
jimmie allen & brad paisley,freedom was a highway
rosalia featuring the weeknd,la fama
latto,big energy
swedish house mafia & the weeknd,moth to a flame
cody johnson,'til you can't
doja cat,woman
the weeknd,take my breath
giveon,for tonight
