songs,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Lonely,2NE1,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
MISSING YOU,2NE1,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Wings (날개) [Daesung Solo],BIGBANG,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Always,BIGBANG,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
LET'S NOT FALL IN LOVE,BIGBANG,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Haru Haru,BIGBANG,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Let Me Know,BTS,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
BTS Cypher Pt.3: Killer,BTS,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
2nd Grade,BTS,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Look Here,BTS,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Attack on Bangtan,BTS,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
I Need U,BTS,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Congratulations,DAY6,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
